"keyword","search_intent","language","topic","entity","competitor","competitor_url","existing_obour_url","gap_type","priority","estimated_difficulty","business_value","local_intent","recommended_page_type","recommended_url","source_requirements","status"
"Infinity Mall","informational","mixed","entity","Infinity Mall","realestate.eg","https://realestate.eg/en/5060473-glory-gardens-new-obour-city-compound","","missing-page","high","medium","medium","high","entity-page","/search/?q=Infinity%20Mall","Official website or verified directory listing","open"
"Turath","informational","mixed","entity","Turath","realestate.eg","https://realestate.eg/en/5060473-glory-gardens-new-obour-city-compound","","missing-page","high","medium","medium","high","entity-page","/search/?q=Turath","Official website or verified directory listing","open"
"Golf City","informational","mixed","entity","Golf City","findapropertyegypt.com","https://findapropertyegypt.com/obour-city/","source:InfoEG.com","weak-page","medium","medium","medium","high","entity-page","source:InfoEG.com","Official website or verified directory listing","open"
"First and Fifth Districts","informational","mixed","entity","First and Fifth Districts","findapropertyegypt.com","https://findapropertyegypt.com/obour-city/","","missing-page","high","medium","medium","high","entity-page","/search/?q=First%20and%20Fifth%20Districts","Official website or verified directory listing","open"
"Obour City","informational","mixed","entity","Obour City","realestate-capsule.com","https://realestate-capsule.com/en/city/obour-city/","source:InfoEG.com","weak-page","medium","medium","medium","high","entity-page","source:InfoEG.com","Official website or verified directory listing","open"
"Obour City services","informational","mixed","entity","Obour City services","kayandev.com","https://kayandev.com/blog/Apartments-for-Sale-in-Obour","","missing-page","high","medium","medium","high","entity-page","/search/?q=Obour%20City%20services","Official website or verified directory listing","open"
"New Obour City districts","informational","mixed","entity","New Obour City districts","ouda-developments.com","https://ouda-developments.com/en/the-most-promising-areas-inside-new-obour-city-during-2026/","","missing-page","high","medium","medium","high","entity-page","/search/?q=New%20Obour%20City%20districts","Official website or verified directory listing","open"
"New Obour City","informational","mixed","entity","New Obour City","ebdaa-developments.com","https://ebdaa-developments.com/en/your-ultimate-guide-to-new-obour-city-apartment-prices-and-recent-market-trends/","","missing-page","high","medium","medium","high","entity-page","/search/?q=New%20Obour%20City","Official website or verified directory listing","open"
"New Obour City","informational","mixed","entity","New Obour City","shary.com.eg","https://shary.com.eg/en/city/obour-city/","","missing-page","high","medium","medium","high","entity-page","/search/?q=New%20Obour%20City","Official website or verified directory listing","open"
"Obour Plaza 2","informational","mixed","entity","Obour Plaza 2","getoccupi.com","https://getoccupi.com/malls/obour-plaza-2","","missing-page","high","medium","medium","high","entity-page","/search/?q=Obour%20Plaza%202","Official website or verified directory listing","open"
"New Obour City Authority","informational","mixed","entity","New Obour City Authority","newcities.gov.eg","https://newcities.gov.eg/","","missing-page","high","medium","medium","high","entity-page","/search/?q=New%20Obour%20City%20Authority","Official website or verified directory listing","open"
"NUCA","informational","mixed","entity","NUCA","newcities.gov.eg","https://newcities.gov.eg/","","missing-page","high","medium","medium","high","entity-page","/search/?q=NUCA","Official website or verified directory listing","open"
"El Obour Hospital","informational","mixed","entity","El Obour Hospital","asu.edu.eg","https://www.asu.edu.eg/related-news/El+Obour+Hospital","","missing-page","high","medium","medium","high","entity-page","/search/?q=El%20Obour%20Hospital","Official website or verified directory listing","open"
"New Obour Smart City","informational","mixed","entity","New Obour Smart City","misrconsult.com","https://misrconsult.com/portfolio/new-obour-smart-city/","","missing-page","high","medium","medium","high","entity-page","/search/?q=New%20Obour%20Smart%20City","Official website or verified directory listing","open"
"New Obour","informational","mixed","entity","New Obour","marsadomran.info","https://marsadomran.info/en/2024/11/3588/","","missing-page","high","medium","medium","high","entity-page","/search/?q=New%20Obour","Official website or verified directory listing","open"
"مدارس العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/schools/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/schools/","Verified directory data","open"
"مدارس العبور الجديدة","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/education-guide/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/education-guide/","Verified directory data","open"
"مستشفيات العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/hospitals/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/hospitals/","Verified directory data","open"
"صيدليات العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/pharmacies/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/pharmacies/","Verified directory data","open"
"مطاعم العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/restaurants/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/restaurants/","Verified directory data","open"
"كافيهات العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/dining-guide/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/dining-guide/","Verified directory data","open"
"مولات العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/shopping/","needs-optimization","high","medium","high","high","category-page","https://obourguide.com/shopping/","Verified directory data","open"
"عيادات العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/clinics/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/clinics/","Verified directory data","open"
"حضانات العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/nurseries/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/nurseries/","Verified directory data","open"
"جيم العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/fitness/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/fitness/","Verified directory data","open"
"بنوك العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/banks/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/banks/","Verified directory data","open"
"خدمات العبور","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/directory/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/directory/","Verified directory data","open"
"أحياء العبور الجديدة","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/districts/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/districts/","Verified directory data","open"
"كمبوندات العبور الجديدة","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/compounds/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/compounds/","Verified directory data","open"
"أسعار العبور الجديدة","informational/local","arabic","local-directory","","multiple","","https://obourguide.com/prices/","needs-optimization","high","medium","high","high","category-page","https://obourguide.com/prices/","Verified directory data","open"
"Obour City schools","informational/local","english","local-directory","","multiple","","","missing-page","high","medium-high","high","high","category-page","https://obourguide.com/en/education-guide/","Verified directory data","open"
"Obour City hospitals","informational/local","english","local-directory","","multiple","","https://obourguide.com/en/","needs-optimization","high","medium-high","high","high","category-page","https://obourguide.com/en/","Verified directory data","open"
"New Obour compounds","informational/local","english","local-directory","","multiple","","https://obourguide.com/en/compounds/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/en/compounds/","Verified directory data","open"
"restaurants in Obour","informational/local","english","local-directory","","multiple","","","missing-page","high","low-medium","high","high","category-page","https://obourguide.com/en/dining-guide/","Verified directory data","open"
"services in Obour","informational/local","english","local-directory","","multiple","","https://obourguide.com/en/","needs-optimization","high","low-medium","high","high","category-page","https://obourguide.com/en/","Verified directory data","open"
"لم نجد هذا المسار","informational","arabic","thin-content","","","","https://obourguide.com/404/","thin-page","medium","low","low","medium","expand-existing","https://obourguide.com/404/","Original local research","open"
"ابحث في دليل العبور","informational","arabic","thin-content","","","","https://obourguide.com/search/","thin-page","medium","low","low","medium","expand-existing","https://obourguide.com/search/","Original local research","open"
"تحديثات دليل العبور","informational","arabic","thin-content","","","","https://obourguide.com/updates/","thin-page","medium","low","low","medium","expand-existing","https://obourguide.com/updates/","Original local research","open"
"كم تبعد العبور عن مدينة نصر","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"كم تبعد العبور الجديدة عن القاهرة","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"أحسن حي في العبور الجديدة","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"أسعار الشقق في العبور الجديدة","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"أفضل مدرسة في العبور","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"أقرب مستشفى من العبور الجديدة","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"مواعيد جهاز المدينة العبور","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"خطوات استلام شقة في العبور الجديدة","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"تمويل عقاري العبور الجديدة","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"مولات العبور الجديدة","question","arabic","faq","","multiple","","","missing-content","medium","low-medium","medium","high","faq-page","https://obourguide.com/faq/","Verified official sources or methodology","open"
"العبور الجديدة vs التجمع الخامس","comparison","arabic","comparison","","multiple","","","missing-page","medium","medium","medium","high","comparison-page","https://obourguide.com/compare/","Published price/location data only","open"
"الحي الأول vs الحي الخامس العبور الجديدة","comparison","arabic","comparison","","multiple","","","missing-page","medium","medium","medium","high","comparison-page","https://obourguide.com/compare/","Published price/location data only","open"
"كناري vs سولانا العبور الجديدة","comparison","arabic","comparison","","multiple","","","missing-page","medium","medium","medium","high","comparison-page","https://obourguide.com/compare/","Published price/location data only","open"
"أرخص كمبوند في العبور الجديدة","comparison","arabic","comparison","","multiple","","","missing-page","medium","medium","medium","high","comparison-page","https://obourguide.com/compare/","Published price/location data only","open"
"أفضل حي للإيجار في العبور","comparison","arabic","comparison","","multiple","","","missing-page","medium","medium","medium","high","comparison-page","https://obourguide.com/compare/","Published price/location data only","open"
